Date,Open,High,Low,Close,GAP up/down,Range,O-C,C-C,LOD>P.Close,P.Close>High,,,
2/6/15,"2,062.28","2,072.40","2,049.97","2,055.47",-0.24,22.43,-6.81,-7.05,-12.55,-9.88,,,
2/9/15,"2,053.47","2,056.16","2,041.88","2,046.74",-2,14.28,-6.73,-8.73,-13.59,-0.69,,,
2/10/15,"2,049.38","2,070.86","2,048.62","2,068.59",2.64,22.24,19.21,21.85,1.88,-24.12,,,
2/11/15,"2,068.55","2,073.48","2,057.99","2,068.53",-0.04,15.49,-0.02,-0.06,-10.6,-4.89,,,
2/12/15,"2,069.98","2,088.53","2,069.98","2,088.48",1.45,18.55,18.5,19.95,1.45,-20,,,
2/13/15,"2,088.78","2,097.03","2,086.70","2,096.99",0.3,10.33,8.21,8.51,-1.78,-8.55,,,
2/17/15,"2,096.47","2,101.30","2,089.80","2,100.34",-0.52,11.5,3.87,3.35,-7.19,-4.31,,,
2/18/15,"2,099.16","2,100.23","2,092.15","2,099.68",-1.18,8.08,0.52,-0.66,-8.19,0.11,,,
2/19/15,"2,099.25","2,102.13","2,090.79","2,097.45",-0.43,11.34,-1.8,-2.23,-8.89,-2.45,,,
2/20/15,"2,097.65","2,110.61","2,085.44","2,110.30",0.2,25.17,12.65,12.85,-12.01,-13.16,,,
2/23/15,"2,109.83","2,110.05","2,103.00","2,109.66",-0.47,7.05,-0.17,-0.64,-7.3,0.25,,,
2/24/15,"2,109.10","2,117.94","2,105.87","2,115.48",-0.56,12.07,6.38,5.82,-3.79,-8.28,,,
2/25/15,"2,115.30","2,119.59","2,109.89","2,113.86",-0.18,9.7,-1.44,-1.62,-5.59,-4.11,,,
2/26/15,"2,113.91","2,113.91","2,103.76","2,110.74",0.05,10.15,-3.17,-3.12,-10.1,-0.05,,,
2/27/15,"2,110.88","2,112.74","2,103.75","2,104.50",0.14,8.99,-6.38,-6.24,-6.99,-2,,,
3/2/15,"2,105.23","2,117.52","2,104.50","2,117.39",0.73,13.02,12.16,12.89,0,-13.02,,,
3/3/15,"2,115.76","2,115.76","2,098.26","2,107.78",-1.63,17.5,-7.98,-9.61,-19.13,1.63,,,
3/4/15,"2,107.72","2,107.72","2,087.62","2,098.53",-0.06,20.1,-9.19,-9.25,-20.16,0.06,,,
3/5/15,"2,098.54","2,104.25","2,095.22","2,101.04",0.01,9.03,2.5,2.51,-3.31,-5.72,,,
3/6/15,"2,100.91","2,100.91","2,067.27","2,071.26",-0.13,33.64,-29.65,-29.78,-33.77,0.13,,,
3/9/15,"2,072.25","2,083.49","2,072.21","2,079.43",0.99,11.28,7.18,8.17,0.95,-12.23,,,
3/10/15,"2,076.14","2,076.14","2,044.16","2,044.16",-3.29,31.98,-31.98,-35.27,-35.27,3.29,,,
3/11/15,"2,044.69","2,050.08","2,039.69","2,040.24",0.53,10.39,-4.45,-3.92,-4.47,-5.92,,,
3/12/15,"2,041.10","2,066.41","2,041.10","2,065.95",0.86,25.31,24.85,25.71,0.86,-26.17,,,
3/13/15,"2,064.56","2,064.56","2,041.17","2,053.40",-1.39,23.39,-11.16,-12.55,-24.78,1.39,,,
3/16/15,"2,055.35","2,081.41","2,055.35","2,081.19",1.95,26.06,25.84,27.79,1.95,-28.01,,,
3/17/15,"2,080.59","2,080.59","2,065.08","2,074.28",-0.6,15.51,-6.31,-6.91,-16.11,0.6,,,
3/18/15,"2,072.84","2,106.85","2,061.23","2,099.50",-1.44,45.62,26.66,25.22,-13.05,-32.57,,,
3/19/15,"2,098.69","2,098.69","2,085.56","2,089.27",-0.81,13.13,-9.42,-10.23,-13.94,0.81,,,
3/20/15,"2,090.32","2,113.92","2,090.32","2,108.10",1.05,23.6,17.78,18.83,1.05,-24.65,,,
3/23/15,"2,107.99","2,114.86","2,104.42","2,104.42",-0.11,10.44,-3.57,-3.68,-3.68,-6.76,,,
3/24/15,"2,103.94","2,107.63","2,091.50","2,091.50",-0.48,16.13,-12.44,-12.92,-12.92,-3.21,,,
3/25/15,"2,093.10","2,097.43","2,061.05","2,061.05",1.6,36.38,-32.05,-30.45,-30.45,-5.93,,,
3/26/15,"2,059.94","2,067.15","2,045.50","2,056.15",-1.11,21.65,-3.79,-4.9,-15.55,-6.1,,,
3/27/15,"2,055.78","2,062.83","2,052.96","2,061.02",-0.37,9.87,5.24,4.87,-3.19,-6.68,,,
3/30/15,"2,064.11","2,088.97","2,064.11","2,086.24",3.09,24.86,22.13,25.22,3.09,-27.95,,,
3/31/15,"2,084.05","2,084.05","2,067.04","2,067.89",-2.19,17.01,-16.16,-18.35,-19.2,2.19,,,
